school_name,latitude,longitude
JAMAICA GATEWAY TO THE SCIENCES - Q,40.713218,-73.797237
JAMES BALDWIN SCHOOL - MANHATTAN,40.742867,-74.002136
JAMES MADISON HS - BROOKLYN,40.609912,-73.948512
J.H.S. 158 - QUEENS,40.756139,-73.772862
J.H.S. 172 - QUEENS,40.741944,-73.712965
J.H.S. 189 - QUEENS,40.759844,-73.820548
J.H.S. 190 - QUEENS,40.722707,-73.851699
J.H.S. 190 - QUEENS,40.722707,-73.851699
J.H.S. 194 - QUEENS,40.78365,-73.807838
J.H.S. 194 - QUEENS,40.78365,-73.807838
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 216 - QUEENS,40.737517,-73.794031
J.H.S. 237 - QUEENS,40.749545,-73.822073
J.H.S. 237 - QUEENS,40.749545,-73.822073
J.H.S. 25 - QUEENS,40.765133,-73.790083
J.H.S. 47 (SCH FOR THE DEAF) - M,40.738548,-73.982455
J.H.S. 47 (SCH FOR THE DEAF) - M,40.738548,-73.982455
J.H.S. 50 - BROOKLYN,40.711704,-73.960275
J.H.S. 50 - BROOKLYN,40.711704,-73.960275
J.H.S. 52 - MANHATTAN,40.866053,-73.924835
J.H.S. 67 - QUEENS,40.762708,-73.733694
J.H.S. 72 - QUEENS,40.673769,-73.775951
JILL CHAIFETZ TRANSFER HIGH SCHOOL - BRONX,40.819006,-73.905869
JOHN BOWNE HS ANNEX - QUEENS,40.739504,-73.823258
JOHN BOWNE HS - QUEENS,40.738139,-73.824944
JOHN DEWEY HS - BROOKLYN,40.589268,-73.981738
JOHN DEWEY HS - BROOKLYN,40.589268,-73.981738
JULIA RICHMAN H.S.,40.765359,-73.960059
K000 - BROOKLYN,40.619061,-74.000753
K036 SPED - BROOKLYN,40.660134,-73.887023
K140 SPED - BROOKLYN,40.681572,-73.945446
K368 SPED - BROOKLYN,40.697152,-73.946641
K368 SPED - BROOKLYN,40.697152,-73.946641
K370 SPED - BROOKLYN,40.57752,-73.969517
K371 SPED - BROOKLYN,40.654293,-74.005889
K372 SPED - BROOKLYN,40.676668,-73.985258
K372 SPED - BROOKLYN,40.676668,-73.985258
K373 SPED - BROOKLYN,40.648585,-73.957282
K373 SPED - BROOKLYN,40.698869,-73.945042
K396 SPED - BROOKLYN,40.668475,-73.912351
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K721 SPED - BROOKLYN,40.589317,-73.98131
K811 SPED - BROOKLYN,40.591109,-73.9391
LONG ISLAND CITY HS - Q,40.765826,-73.9328
LONG ISLAND CITY HS - Q,40.765826,-73.9328
LONGWOOD PREPARATORY ACADEMY,40.817512,-73.898212
LOWER EAST SIDE PREP HS - M,40.720581,-73.985645
LOWER EAST SIDE PREP HS - M,40.720581,-73.985645
LOWER MANHATTAN ARTS - MANHATTAN,40.717349,-73.989596
LYONS COMMUNITY SCHOOL - K,40.709941,-73.943641
M079 SPED - MANHATTAN,40.802419,-73.942634
M079 SPED - MANHATTAN,40.802419,-73.942634
M094 SPED - MANHATTAN,40.739178,-73.9955
M169 SPED - MANHATTAN,40.781227,-73.955673
M169 SPED - MANHATTAN,40.781227,-73.955673
M811 SPED - MANHATTAN,40.786611,-73.97951
M811 SPED - MANHATTAN,40.786611,-73.97951
MANHATTAN BRIDGES - MANHATTAN,40.765234,-73.993076
MANHTN CT FOR MATH & SCI. HS - M,40.793856,-73.934028
MANHTN CT FOR MATH & SCI. HS - M,40.793856,-73.934028
MARTIN VAN BUREN HS - QUEENS,40.733066,-73.738756
"MATH, SCI., RESEARCH & TECH. HS-Q",40.697819,-73.745728
"MATH, SCI., RESEARCH & TECH. HS-Q",40.697819,-73.745728
MEDGAR EVERS COLLEGE PREP SCHOOL ANNEX - BROOKLYN,40.667195,-73.951167
METROPOLITAN HS - BRONX,40.827315,-73.897612
MIDDLE COLLEGE HIGH SCHOOL - QUEENS,40.744412,-73.93364
MIDWOOD HS - BROOKLYN,40.633237,-73.952929
MIDWOOD HS - BROOKLYN,40.633237,-73.952929
MILLENNIUM HS - MANHATTAN,40.704541,-74.011552
MILLENNIUM HS - MANHATTAN,40.704541,-74.011552
"MINIVENTURES OF NY, INC.- SITE #4 - BRONX",40.866931,-73.884217
MNHT COMPR. NIGHT & DAY HS - M,40.732716,-73.984665
MONROE ACAD FOR VISUAL ARTS - X,40.831601,-73.878912
M.S. 137 - QUEENS,40.6781,-73.839948
M.S. 137 - QUEENS,40.6781,-73.839948
M.S. 137 - QUEENS,40.6781,-73.839948
M.S. 282 - QUEENS,40.60201,-73.762795
M.S. 282 - QUEENS,40.60201,-73.762795
M.S. 282 - QUEENS,40.60201,-73.762795
M.S./H.S. 342 - BRONX,40.870293,-73.898309
MURRAY HILL ACADEMY HS - M,40.746176,-73.981241
NAPLES STREET ELEMENTARY SCHOOL - R,40.60223,-74.091355
NEVINS DAY CARE CENTER,40.686296,-73.983223
NEW BRIDGES,40.669001,-73.934635
NEW BRIDGES,40.66967,-73.93383
NEWCOMERS HIGH SCHOOL - Q,40.751356,-73.937445
NEWCOMERS HIGH SCHOOL - Q,40.751356,-73.937445
NEW DESIGN MIDDLE SCHOOL - MANHATTAN,40.819267,-73.957104
NEW DORP HS - STATEN ISLAND,40.569393,-74.107737
NEW DORP HS - STATEN ISLAND,40.569393,-74.107737
NEW DORP HS - STATEN ISLAND,40.569393,-74.107737
NEW EXPLORATIONS - M,40.718895,-73.979308
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,40.827941,-73.914374
NEWTOWN HS - QUEENS,40.741122,-73.874721
NEWTOWN HS - QUEENS,40.741122,-73.874721
NEWTOWN HS - QUEENS,40.741122,-73.874721
PARK EAST HS - MANHATTAN,40.790543,-73.944356
PERFORMING ARTS AND TECH. HS - K,40.667456,-73.894747
PERFORMING ARTS AND TECH. HS - K,40.667456,-73.894747
PORT RICHMOND HS - R,40.634573,-74.141818
PORT RICHMOND HS - R,40.633704,-74.142364
PRE-K CENTER @ 98-22 55 AVENUE - QUEENS,40.739192,-73.862261
PROGRESS HS - K,40.712184,-73.939722
P.S. 078 - STATEN ISLAND,40.622293,-74.078425
P.S. 078 - STATEN ISLAND,40.622293,-74.078425
P.S. 100 - BROOKLYN,40.57732,-73.971313
P.S. 100 - BROOKLYN,40.57732,-73.971313
P.S. @ 101-11 104 STREET - QUEENS,40.685929,-73.838894
P.S. @ 101-11 104 STREET - QUEENS,40.685929,-73.838894
P.S. 101 - BROOKLYN,40.597133,-73.991614
P.S. 101 - QUEENS,40.715585,-73.843898
P.S. 102 - BROOKLYN,40.63402,-74.029036
P.S. 102 - MANHATTAN,40.794869,-73.938711
P.S. 102 - QUEENS,40.733514,-73.877857
P.S. 104 - BROOKLYN,40.618415,-74.028842
P.S. 104 - QUEENS,40.608467,-73.764548
P.S. 105 - BRONX,40.852398,-73.866617
P.S. 105 - BROOKLYN,40.632936,-74.00374
P.S. 105 - QUEENS,40.595768,-73.781873
P.S. 106 - BROOKLYN,40.693879,-73.913056
P.S. 107 - BRONX,40.818467,-73.868372
P.S. 107 - QUEENS,40.756013,-73.799706
P.S. 108 - BRONX,40.854726,-73.853227
P.S. 108 - MANHATTAN,40.795146,-73.948368
P.S. 108 - QUEENS,40.679584,-73.831547
P.S. 108 - QUEENS,40.679584,-73.831547
P.S. 109 - BRONX,40.851414,-73.918533
P.S. 109 - BROOKLYN,40.636455,-73.933582
P.S. 109 - BROOKLYN,40.636455,-73.933582
P.S. 10 - BROOKLYN,40.661061,-73.986534
P.S. 110 - BRONX,40.835286,-73.900751
P.S. 110 - BRONX,40.835286,-73.900751
P.S. 110 - BROOKLYN,40.723897,-73.942312
P.S. 110 - QUEENS,40.745995,-73.866372
P.S. 111 - BRONX,40.884343,-73.840254
P.S. 111 - QUEENS,40.758831,-73.93938
P.S. 112 - BRONX,40.885008,-73.843193
P.S. 112 - BROOKLYN,40.61978,-74.000792
P.S. 112 - MANHATTAN,40.796668,-73.930966
P.S. 112 - QUEENS,40.756891,-73.934523
P.S. 114 - BRONX,40.834776,-73.923067
P.S. 114 - BRONX,40.834776,-73.923067
P.S. 114 - BRONX,40.834776,-73.923067
P.S. 114 - QUEENS,40.578261,-73.854403
P.S. 115 - BROOKLYN,40.635015,-73.897262
P.S. 116 - QUEENS,40.700606,-73.782302
P.S. 116 - QUEENS,40.700606,-73.782302
P.S. 116 - QUEENS,40.700606,-73.782302
P.S. 117 - QUEENS,40.709463,-73.813376
P.S. 117 - QUEENS,40.709463,-73.813376
P.S. 117 - QUEENS,40.709463,-73.813376
P.S. 118 - QUEENS,40.703585,-73.765838
P.S. 118 - QUEENS,40.703585,-73.765838
P.S. 119 - BRONX,40.828518,-73.856569
P.S. 119 - BROOKLYN,40.625662,-73.938265
P.S. 11 - BRONX,40.839378,-73.925714
P.S. 120 - BROOKLYN,40.700609,-73.93834
P.S. 120 - QUEENS,40.745526,-73.829309
P.S. 121 - BRONX,40.86608,-73.850982
P.S. 121 - BROOKLYN,40.623273,-73.978822
P.S. 122 - QUEENS,40.780347,-73.916655
P.S. 122 - QUEENS,40.780347,-73.916655
P.S. 122 - QUEENS,40.780347,-73.916655
P.S. 122 - QUEENS,40.780347,-73.916655
P.S. 122 - QUEENS,40.780347,-73.916655
P.S. 123 - BROOKLYN,40.703767,-73.922702
